file,segment_id,t_onset_s,t_offset_s
Bird songs\pie.wav,11,11.064308390022676,11.110748299319727
Bird songs\pigeon.wav,0,1.6718367346938776,2.182675736961451
Bird songs\pigeon.wav,1,2.3568253968253967,2.5309750566893423
Bird songs\pigeon.wav,2,3.006984126984127,3.1927437641723357
Bird songs\pigeon.wav,3,3.332063492063492,3.6687528344671203
Bird songs\pigeon.wav,4,4.179591836734694,4.388571428571429
Bird songs\pigeon.wav,5,4.690430839002268,5.375419501133787
Bird songs\pigeon.wav,6,5.5495691609977325,5.8165986394557825
Bird songs\pigeon.wav,7,6.257777777777778,6.408707482993197
Bird songs\pigeon.wav,8,6.594467120181406,6.896326530612245
Bird songs\pigeon.wav,9,7.511655328798186,7.720634920634921
Bird songs\pigeon.wav,10,8.02249433106576,8.649433106575964
Bird songs\pigeon.wav,11,8.846802721088435,9.125442176870749
Bird songs\pigeon.wav,12,9.613061224489796,9.787210884353742
Bird songs\pigeon.wav,13,9.984580498866213,10.08907029478458
Bird songs\pigeon.wav,14,10.205170068027211,10.24
Bird songs\pinson.wav,0,2.786394557823129,2.8328344671201813
Bird songs\pinson.wav,1,2.9373242630385485,4.1099319727891155
Bird songs\pinson.wav,2,4.214421768707483,4.911020408163266
Bird songs\pinson.wav,3,8.928072562358278,10.263219954648527
Bird songs\pinson.wav,4,10.379319727891156,11.064308390022676
Bird songs\rouge-gorge.wav,0,3.0418140589569163,3.564263038548753
Bird songs\rouge-gorge.wav,1,3.7268027210884354,4.35374149659864
Bird songs\rouge-gorge.wav,2,7.743854875283446,7.778684807256236
Bird songs\rouge-gorge.wav,3,7.952834467120182,8.17342403628118
Bird songs\rouge-gorge.wav,4,8.417233560090702,8.510113378684807
Bird songs\rouge-gorge.wav,5,8.614603174603175,9.229931972789116
Bird songs\rouge-gorge.wav,6,9.369251700680271,9.415691609977324
Bird songs\sitelle torchepot.wav,0,2.7399546485260773,3.0418140589569163
Bird songs\sitelle torchepot.wav,1,3.250793650793651,3.541043083900227
Bird songs\sitelle torchepot.wav,2,3.7616326530612243,4.063492063492063
Bird songs\sitelle torchepot.wav,3,4.388571428571429,4.6788208616780045
Bird songs\sitelle torchepot.wav,4,7.174965986394557,7.441995464852607
Bird songs\sitelle torchepot.wav,5,7.720634920634921,8.02249433106576
Bird songs\sitelle torchepot.wav,6,8.382403628117913,8.649433106575964
Bird songs\sitelle torchepot.wav,7,9.787210884353742,10.08907029478458
Bird songs\sitelle torchepot.wav,8,10.309659863945578,10.611519274376418
Bird songs\sitelle torchepot.wav,9,10.89015873015873,11.168798185941043
Bird songs\tourterelle.wav,0,1.6718367346938776,1.7066666666666668
Bird songs\tourterelle.wav,1,1.9736961451247166,2.0085260770975055
Bird songs\tourterelle.wav,2,2.3103854875283445,2.48453514739229
Bird songs\tourterelle.wav,3,3.320453514739229,3.4249433106575964
Bird songs\tourterelle.wav,4,3.610702947845805,3.6919727891156464
Bird songs\tourterelle.wav,5,3.924172335600907,4.005442176870749
Bird songs\tourterelle.wav,6,4.272471655328798,4.423401360544218
Bird songs\tourterelle.wav,7,5.410249433106576,5.491519274376417
Bird songs\tourterelle.wav,8,5.677278911564626,5.758548752834467
Bird songs\tourterelle.wav,9,5.88625850340136,6.0836281179138325
Bird songs\tourterelle.wav,10,6.362267573696145,6.431927437641724
Bird songs\tourterelle.wav,11,6.815056689342404,6.884716553287982
Bird songs\tourterelle.wav,12,7.778684807256236,7.859954648526077
Bird songs\tourterelle.wav,13,8.057324263038549,8.370793650793651
Bird songs\tourterelle.wav,14,8.730702947845804,8.870022675736962
Bird songs\tourterelle.wav,15,9.775600907029478,9.984580498866213
Bird songs\tourterelle.wav,16,10.193560090702947,10.27482993197279
Bird songs\tourterelle.wav,17,10.878548752834467,10.924988662131518
